codigo,descricao,is_st,is_transferencia
1000,ENTRADAS OU AQUISICOES DE SERVICOS DO ESTADO,False,False
1100,"COMPRAS PARA INDUSTRIALIZACAO, COMERCIALIZACAO OU PRESTACAO",False,False
1101,COMPRA ESTADUAL P/INDUSTRIALIZACAO,False,False
1102,COMPRA ESTADUAL P/COMERCIALIZACAO,False,False
1111,COMPRA PARA INDUSTRIALIZACAO DE MERCADORIA RECEBIDA ANTERIOR,False,False
1113,COMPRA ESTADUAL CONSIGNADA,False,False
1116,COMPRA ESTADUAL P/INDUST.ORIG.DE ENCOMENDA,False,False
1117,COMPRA ESTADUAL P/COMERC.ORIG.DE ENCOMENDA,False,False
1118,COMPRA DE MERCADORIA PARA COMERCIALIZACAO PELO ADQUIRENTE OR,False,False
1120,"COMPRA PARA INDUSTRIALIZACAO, EM VENDA A ORDEM, JA RECEBIDA",False,False
1121,"COMPRA PARA COMERCIALIZACAO, EM VENDA A ORDEM, JA RECEBIDA D",False,False
1122,COMPRA PARA INDUSTRIALIZACAO EM QUE A MERCADORIA FOI REMETID,False,False
1124,INDUSTRIALIZACAO EFETUADA,False,False
1125,INDUSTRIALIZACAO EFETUADA POR OUTRA EMPRESA QUANDO A MERCADO,False,False
1126,COMPRA PARA UTILIZACAO NA PRESTACAO DE SERVICO,False,False
1150,"TRANSFERENCIAS PARA INDUSTRIALIZACAO, COMERCIALIZACAO OU PRE",False,True
1151,TRANSFERENCIA PARA INDUSTRIALIZACAO,False,True
1152,TRANSFERENCIA PARA COMERCIALIZACAO,False,True
1153,TRANSFERENCIA DE ENERGIA ELETRICA PARA DISTRIBUICAO,False,True
1154,TRANSFERENCIA PARA UTILIZACAO NA PRESTACAO DE SERVICO,False,True
1200,"DEVOLUCOES DE VENDAS DE PRODUCAO PROPRIA, DE TERCEIROS OU AN",False,False
1201,DEVOLUCAO DE VENDA DE PRODUCAO DO ESTABELECIMENTO,False,False
1202,DEVOLUCAO DE VENDA ESTADUAL REC.DE TERCEIRO,False,False
1203,"DEVOLUCAO DE VENDA DE PRODUCAO DO ESTABELECIMENTO, DESTINADA",False,False
1204,DEVOLUCAO DE VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TE,False,False
1205,ANULACAO DE VALOR RELATIVO A PRESTACAO DE SERVICO DE COMUNIC,False,False
1206,ANULACAO DE VALOR RELATIVO A PRESTACAO DE SERVICO DE TRANSPO,False,False
1207,ANULACAO DE VALOR RELATIVO A VENDA DE ENERGIA ELETRICA,False,False
1208,DEVOL.ESTADUAL DE TRANSFERENCIA DE PRODUCAO,False,False
1209,DEVOL.ESTADUAL DE TRANSFERENCIA REC.DE TERCEIROS,False,False
1250,COMPRAS DE ENERGIA ELETRICA,False,False
1251,COMPRA DE ENERGIA ELETRICA PARA DISTRIBUICAO OU COMERCIALIZA,False,False
1252,COMPRA DE ENERGIA ELETRICA POR ESTABELECIMENTO INDUSTRIAL,False,False
1253,COMPRA DE ENERGIA ELETRICA POR ESTABELECIMENTO COMERCIAL,False,False
1254,COMPRA DE ENERGIA ELETRICA POR ESTAB.PRESTADOR TRANSPORTE,False,False
